start_time,	pre_process,	bird_view,	sliding_windows,	draw_lane,	run_time
1546768702.1,	0.00212717056274,	0.00212097167969,	0.00931286811829,	0.00238394737244,	1546768702.12
1546768702.13,	0.00363302230835,	0.00200200080872,	0.00593495368958,	0.00332188606262,	1546768702.14
1546768702.15,	0.00190114974976,	0.00411200523376,	0.0108768939972,	0.00279903411865,	1546768702.17
1546768702.18,	0.00295782089233,	0.00209808349609,	0.00693988800049,	0.00264501571655,	1546768702.2
1546768702.2,	0.00185203552246,	0.00495600700378,	0.00795698165894,	0.00251197814941,	1546768702.22
1546768702.23,	0.00190210342407,	0.00201296806335,	0.00719904899597,	0.00403594970703,	1546768702.25
1546768702.26,	0.00204491615295,	0.00358200073242,	0.00769209861755,	0.00212001800537,	1546768702.28
1546768702.29,	0.00193619728088,	0.00197601318359,	0.00732588768005,	0.00360012054443,	1546768702.3
1546768702.31,	0.00268912315369,	0.00363683700562,	0.00898194313049,	0.00407600402832,	1546768702.33
1546768702.34,	0.00185918807983,	0.00196599960327,	0.00714993476868,	0.00363492965698,	1546768702.35
1546768702.36,	0.00217199325562,	0.00208497047424,	0.00981998443604,	0.00198793411255,	1546768702.38
1546768702.38,	0.00276184082031,	0.00221419334412,	0.00581884384155,	0.00254607200623,	1546768702.4
1546768702.41,	0.00192618370056,	0.00406098365784,	0.00997185707092,	0.00289106369019,	1546768702.43
1546768702.43,	0.00203418731689,	0.00346493721008,	0.00517988204956,	0.00263810157776,	1546768702.45
1546768702.46,	0.00188398361206,	0.00202703475952,	0.00799798965454,	0.00382113456726,	1546768702.47
1546768702.48,	0.00187611579895,	0.0027539730072,	0.00787281990051,	0.00277709960938,	1546768702.5
1546768702.5,	0.00186705589294,	0.00506496429443,	0.00902605056763,	0.00211691856384,	1546768702.52
1546768702.53,	0.00283312797546,	0.00401592254639,	0.00532817840576,	0.00663685798645,	1546768702.55
1546768702.56,	0.0034511089325,	0.00252890586853,	0.00680494308472,	0.00253105163574,	1546768702.58
1546768702.59,	0.00217294692993,	0.00198316574097,	0.00634694099426,	0.00398397445679,	1546768702.6
1546768702.61,	0.00274896621704,	0.00273895263672,	0.006019115448,	0.0041229724884,	1546768702.63
